TID,y,x1,x2,x3,x4,x5,x6,k
254,5,0.765656566,1,0,0.887626263,0,0,4777
255,8,0.797979798,1,0,0.848484848,1,0,3113
256,3,0.771043771,1,0,0.848484848,1,0,3073
257,4,0.787878788,1,0,0.848484848,1,0,3104
258,3,0.784511785,1,0,0.747474747,1,1,3524
259,4,0.767676768,1,0,0.771043771,1,0,3108
260,3,1,0,0,0.763347763,1,0,3660
261,1,1,0,0,0.764921947,1,0,3989
262,2,0.449494949,0,0,0.765597148,1,0,3241
263,4,1,0,0,0.766899767,1,0,3278
264,24,0.747474747,1,1,0.745454545,1,0,3778
265,20,0.761616162,1,0,0.769119769,1,0,3756
266,5,0.741414141,1,0,0.768842269,1,0,3649
267,19,0.726741095,1,0,0.734487734,1,0,4364
268,9,0.753647587,1,0,0.757575758,1,0,3292
269,5,0.787878788,1,0,0.767676768,1,0,3223
270,8,0.767676768,1,0,0.777777778,1,0,3077
271,4,0.777777778,1,0,0.771043771,1,0,3268
272,6,0.865319865,0,0,0.932659933,0,0,3058
273,4,0.797979798,0,0,1,0,0,4619
274,6,0.797979798,0,0,1,0,0,4654
275,1,0.797979798,0,0,1,0,0,3214
276,4,0.797979798,0,0,1,0,0,3157
277,3,0.797979798,0,0,0.966329966,0,0,3258
278,1,0.797979798,0,0,1,0,0,3087
279,6,0.784511785,0,0,1,0,0,3143
280,4,0.797979798,0,0,1,0,0,3582
281,5,0.765656566,0,0,0.98989899,0,0,4862
282,2,0.797979798,0,0,1,0,0,3377
283,3,0.797979798,0,0,1,0,0,3371
284,4,0.797979798,0,0,1,0,0,3345
285,2,0.797979798,0,0,1,0,0,2889
286,7,0.797979798,0,0,1,0,0,3393
287,2,0.797979798,0,0,0.696969697,1,1,4350
288,7,0.780663781,0,0,0.755503756,1,0,4853
289,4,0.797979798,0,0,0.767082591,1,0,3308
290,3,0.797979798,0,0,0.773737374,1,0,3168
291,12,0.797979798,0,0,0.780022447,1,0,3144
292,20,0.737373737,1,1,0.771043771,0,0,3296
293,15,0.765656566,1,0,0.773737374,0,0,2889
294,8,0.772727273,1,0,0.797979798,0,0,3744
295,7,0.746753247,1,0,0.763347763,0,0,4254
296,5,0.781818182,1,0,0.757575758,0,0,4124
297,10,0.756565657,1,0,0.850505051,0,0,3330
298,6,0.764309764,0,0,0.844877345,0,0,3196
299,17,0.776589424,0,0,0.898989899,0,0,3529
300,8,0.772727273,0,0,0.898989899,0,0,4028
301,9,0.766554433,0,0,0.898989899,0,0,4302
302,6,0.757575758,0,0,0.898989899,0,0,4864
303,2,0.797979798,0,0,0.898989899,0,0,5337
304,0,1,0,0,1,0,0,2591
305,1,0.797979798,0,0,0.898989899,0,0,2710
306,1,1,0,0,0.898989899,0,0,3160
307,0,1,0,0,0.898989899,0,0,3593
308,0,1,0,0,0.898989899,0,0,3382
309,42,0.682659933,0,0,0.883838384,0,0,4356
310,13,0.757575758,0,0,0.898989899,0,0,3326
311,10,0.757575758,1,0,0.898989899,0,0,3107
312,5,0.757575758,1,0,0.898989899,0,0,2977
313,6,0.757575758,1,0,0.898989899,0,0,3268
314,13,0.753690754,1,0,0.898989899,0,0,3170
315,5,0.757575758,1,0,0.898989899,0,0,3561
316,10,0.741919192,1,0,0.883838384,0,0,3771
317,14,0.753607504,1,0,0.898989899,0,0,3777
318,8,0.733585859,1,0,0.898989899,0,0,3765
319,2,0.757575758,1,0,0.886868687,0,0,2646
320,5,0.737373737,1,0,1,0,0,3077
321,12,0.757575758,1,0,1,0,0,3099
322,4,0.898989899,0,0,1,0,0,3465
323,5,0.88989899,0,0,0.98989899,0,0,4095
324,7,0.848484848,1,0,0.838383838,1,0,2507
