panel,q12,q13,q14,q15,q19,q23,q24,q25,q26,q27,q3,q5,q7,q22,q10,q11,q17,q18,q1,q2,q4,q6,q8,q9,q16,q20,q21,age,gender,year,type
1097579,3,2,2,2,2,4,4,3,3,3,4,4,4,4,3,2,2,2,3,3,2,4,3,2,3,3,2,59,0,3,2
1098363,4,3,3,3,3,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,4,2,3,4,4,2,41,0,12,2
1113463,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,2,4,3,4,2,4,3,60,0,20,2
1117818,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,4,52,0,29,1
1121296,2,2,2,3,3,2,2,2,2,2,2,4,4,2,2,1,3,3,3,4,3,4,2,3,4,4,2,37,1,10,2
1130074,1,1,3,2,1,4,4,3,3,3,4,4,4,4,2,1,1,1,2,2,2,4,2,3,2,4,2,30,1,0,2
1134342,3,3,3,3,3,4,3,3,3,3,3,4,3,4,4,2,4,3,3,4,3,4,3,3,3,3,2,40,0,10,1
1146449,2,2,2,2,2,4,4,4,4,4,4,4,3,4,2,2,3,2,4,3,4,3,2,3,3,4,3,48,0,10,2
1153655,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3,3,49,1,20,2
1161010,1,1,1,1,1,3,3,3,3,3,5,3,4,4,1,1,1,1,3,4,4,2,1,4,3,4,1,42,0,8,2
1161878,2,2,3,1,3,2,2,2,2,2,4,3,4,4,3,1,3,3,3,4,3,4,3,3,4,4,2,46,0,5,2
1161977,4,4,2,3,2,4,3,2,3,3,4,2,4,4,2,2,2,2,3,4,3,4,3,2,3,4,4,46,0,20,2
1164152,3,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,48,0,15,2
1164917,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,62,0,10,1
1165197,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,3,3,2,35,0,10,2
1167432,1,1,1,1,1,4,4,4,4,4,4,4,4,4,3,4,1,1,3,4,4,4,2,4,1,1,2,55,0,10,2
1185656,1,1,1,1,1,4,4,3,3,3,4,4,3,4,3,3,4,4,2,4,2,2,3,4,1,3,1,66,1,34,1
1187555,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,3,2,52,0,20,3
1198417,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,5,3,4,4,4,2,40,0,1,2
1206875,2,1,2,2,2,4,4,3,3,3,4,4,3,4,2,2,1,2,4,2,4,4,3,3,1,3,1,37,1,1,2
1206945,1,1,1,1,1,1,1,1,1,1,5,3,3,4,3,2,1,1,4,4,3,3,3,3,1,1,4,39,0,10,2
1208948,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,2,60,0,25,3
1211226,1,1,1,1,2,4,3,4,3,3,4,4,3,4,3,2,1,2,4,3,3,4,3,4,3,3,1,47,0,8,2
