年,月,北海道,青森,岩手,宮城,秋田,山形,福島,茨城,栃木,群馬,埼玉,千葉,東京,神奈川,新潟,富山,石川,福井,山梨,長野,岐阜,静岡,愛知,三重,滋賀,京都,大阪,兵庫,奈良,和歌山,鳥取,島根,岡山,広島,山口,徳島,香川,愛媛,高知,福岡,佐賀,長崎,熊本,大分,宮崎,鹿児島,沖縄
year,month,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47
2015,3,2344590,314860,465380,886640,219750,484210,906350,518350,807720,725440,384190,2116330,5162770,1835530,856490,266800,712410,348520,688760,1477890,577930,2007850,1447790,827280,437620,1476230,2644100,1226200,195550,437430,271630,286490,478910,841670,414290,207280,366400,347580,260800,1331180,268270,821010,589900,672510,333270,742730,1746200
2015,4,1765940,334630,432500,779300,227720,378220,832270,402060,724450,576060,345350,1802520,4966980,1616700,605720,307510,650770,272370,605690,1135240,526160,1671740,1373010,661030,460910,1526500,2496970,1091360,218980,347410,208340,259720,407140,751770,367580,193630,308170,298340,202210,1238170,247660,654910,540500,609530,257790,580490,1586950
2015,5,2585220,452100,531290,899620,340860,490400,933630,466930,902070,730970,377550,1983470,5090680,1576420,789230,372010,741930,340680,724220,1592320,579040,1869660,1391230,766500,494550,1688100,2444000,1188760,273380,393090,254230,317070,442050,854620,440250,222600,358130,321440,262140,1415240,265110,793450,659700,656460,334400,717960,1618410
2015,6,2755130,408530,471430,864950,287040,454400,890860,411090,745960,615930,316820,1732880,4655550,1393950,704810,290060,681790,287870,608430,1120710,439720,1548450,1297490,573550,412050,1450420,2301480,1018760,188760,298710,210960,265000,377520,729100,361260,165600,273440,245850,183870,1201690,204740,599290,474620,500790,262550,545090,1624940
2015,7,3480910,487990,535560,973970,340790,544180,1009720,515050,964540,737320,378500,1961510,5149480,1493190,949520,361310,761520,372050,856090,1804120,567950,2052400,1469270,824040,485960,1571880,2664700,1260420,241230,431780,229570,282640,447650,796140,380480,204950,369250,327520,235310,1398980,250910,684210,579330,570630,307110,641190,1853990
2015,8,3772580,599420,684030,1129900,424700,707640,1265760,715230,1349600,1078110,457310,2325440,5439970,1878940,1367910,536760,982910,578350,1288540,3040530,806940,2885520,1650110,1158950,661110,1817090,2979290,1618570,374710,622530,360000,387960,572340,1003580,500860,295600,516490,408460,381870,1648840,300520,911620,829250,749660,436890,828100,2096070
2015,9,3161160,518900,556930,1003090,335680,550400,1035630,479050,935420,752320,356110,1821170,4855280,1526160,859860,405910,806250,340030,784050,1770760,598820,1867410,1408520,791500,447300,1590960,2592840,1160860,240030,399810,245630,304800,481960,832120,413610,200460,383470,334940,253010,1402140,266470,731890,666490,614650,322860,694870,1924060
2015,10,2992960,548970,619590,998180,383290,577980,1071150,475370,1004090,852680,375310,1837950,5085520,1592000,906240,410160,833330,326460,711290,1599770,636820,1858060,1406090,871280,465560,1737770,2706990,1201980,223390,446630,272530,317010,475580,866420,497040,203070,348260,344680,249300,1435570,280840,796520,653470,632520,322520,688990,1757520
2015,11,2183590,413870,518210,941420,269980,474040,988870,480220,860620,766980,350730,1764770,4790970,1589300,769240,342240,799340,366080,650930,1190290,576760,1879750,1377820,881200,474160,1728160,2533850,1217740,228690,393830,272290,327140,431660,811980,434920,186280,357370,340090,234690,1398610,278530,788490,627930,675260,314910,689060,1512250
2015,12,2554670,344240,455530,882780,209310,428890,868700,503080,740000,684370,340000,1821300,5045110,1634270,750600,257480,683680,319830,552480,1327590,529920,1840560,1363870,836410,401640,1543110,2690100,1184840,142310,338990,218560,258380,375090,690200,392570,152440,293440,270860,181130,1397770,249360,701810,562810,593620,296560,632800,1454450
